Name,Link,Aliases
Veronica Smethley,/wiki/Veronica_Smethley,"['Veronica', 'Veronica Smethley']"
Sir Patrick Delaney-Podmore,/wiki/Patrick_Delaney-Podmore,"['Sir Patrick', 'Sir Properly-Decapitated Podmore', 'Sir Patrick Delaney-Podmore']"
Z. Nettles,/wiki/Z._Nettles,['Z. Nettles']
D.J. Prod,/wiki/Demetrius_Prod,"['D. J. Prod', 'D.J. Prod']"
salamander,/wiki/Fire_Dwelling_Salamander,['salamander']
Portly ghost,/wiki/Portly_ghost,"['Portly', 'Portly ghost']"
Myrtle Warren,/wiki/Myrtle_Warren,"['Myrtle', 'Moaning Myrtle', 'Myrtle Warren']"
Wailing Widow,/wiki/Wailing_Widow,"['Wailing', 'Wailing Widow']"
Ghosts,/wiki/Ghost,['Ghosts']
Mrs Skower,/wiki/Skower,"['Mrs. Skower', 'Mrs Skower']"
Godric Gryffindor,/wiki/Godric_Gryffindor,"['Godric', 'Godric Gryffindor']"
Helga Hufflepuff,/wiki/Helga_Hufflepuff,"['Helga', 'Helga Hufflepuff']"
Rowena Ravenclaw,/wiki/Rowena_Ravenclaw,"['Rowena', 'Rowena Ravenclaw']"
Salazar Slytherin,/wiki/Salazar_Slytherin,"['Salazar', 'Serpent-tongue', 'Salazar Slytherin']"
Transylvanian,/wiki/Transylvania,['Transylvanian']
Yeti,/wiki/Yeti,['Yeti']
Vampire,/wiki/Vampire,['Vampire']
Wagga Wagga Werewolf,/wiki/Wagga_Wagga_Werewolf,"['Wagga', 'Wagga Wagga Werewolf']"
Ernie Macmillan,/wiki/Ernest_Macmillan,"['Ernie', 'Macmillan', 'Ernie Macmillan']"
Blood-Sucking Bugbear,/wiki/Blood-Sucking_Bugbear,['Blood-Sucking Bugbear']
Aurora Sinistra,/wiki/Aurora_Sinistra,"['Professor Sinistra', 'Aurora', 'Aurora Sinistra']"
Fawkes,/wiki/Fawkes,['Fawkes']
Penelope Clearwater,/wiki/Penelope_Clearwater,"['Penny', 'Penelope', 'Penelope Clearwater']"
Millicent Bulstrode's cat,/wiki/Millicent_Bulstrode%27s_cat,"[""Millicent Bulstrode's cat""]"
dwarfs,/wiki/Dwarf,['dwarfs']
Armando Dippet,/wiki/Armando_Dippet,"['Dippet', 'Armando', 'Armando Dippet']"
Aragog,/wiki/Aragog,['Aragog']
Hogwarts Board of Governors,/wiki/Hogwarts_Board_of_Governors,"['governors', 'Hogwarts Board of Governors']"
Mosag,/wiki/Mosag,['Mosag']
Forbidden Forest Acromantula colony,/wiki/Forbidden_Forest_Acromantula_colony,['Forbidden Forest Acromantula colony']
Olive Hornby,/wiki/Olive_Hornby,"['Olive', 'Olive Hornby']"
Tom Riddle Senior,/wiki/Tom_Riddle_Senior,['Tom Riddle Senior']
Merope Riddle,/wiki/Merope_Riddle,"['Merope', 'Merope Riddle']"
Serpent of Slytherin,/wiki/Serpent_of_Slytherin,"['Serpent', 'Serpent of Slytherin']"
Wendelin the Weird,/wiki/Wendelin_the_Weird,"['Wendelin', 'Wendelin the Weird']"
Unidentified Hogwarts owl,/wiki/Unidentified_Hogwarts_owl,['Unidentified Hogwarts owl']
Fleetwood,/wiki/Fleetwood,['Fleetwood']
Ripper,/wiki/Ripper,"['Rippy', 'Rippy-pippy-pooh', 'Rippy-pooh', 'Ripper']"
Fubster,/wiki/Fubster,['Fubster']
Stan Shunpike,/wiki/Stanley_Shunpike,"['Stan', 'Stan Shunpike']"
Ernie Prang,/wiki/Ernest_Prang,['Ernie Prang']
Sleeping wizard on the Knight Bus,/wiki/Dishevelled_Wizard,"['Sleeping', 'Sleeping wizard on the Knight Bus']"
Marsh,/wiki/Marsh,['Marsh']
Prime Minister,/wiki/Prime_Minister,"['Prime', 'Prime Minister']"
Florean Fortescue,/wiki/Florean_Fortescue,"['Florean', 'Florean Fortescue']"
Cassandra Vablatsky,/wiki/Cassandra_Vablatsky,"['Cassandra', 'Cassandra Vablatsky']"
Magical Menagerie saleswoman,/wiki/Magical_Menagerie_saleswoman,"['Magical', 'Magical Menagerie saleswoman']"
Crookshanks,/wiki/Crookshanks,['Crookshanks']
Remus Lupin,/wiki/Remus_Lupin,"['Romulus', 'Moony', 'Lupin', 'Remus', 'Remus Lupin']"
Silvanus Kettleburn,/wiki/Silvanus_Kettleburn,"['Silvanus', 'Professor Kettleburn', 'Silvanus Kettleburn']"
Dementor,/wiki/Dementor,['Dementor']
Cadogan,/wiki/Cadogan,['Cadogan']
Sybill Trelawney,/wiki/Sybill_Trelawney,"['Sybill', 'Professor Trelawney', 'Sybill Trelawney']"
Bilius,/wiki/Bilius,['Bilius']
Hogwarts Hippogriff herd,/wiki/Hogwarts_Hippogriff_herd,['Hogwarts Hippogriff herd']
Buckbeak,/wiki/Buckbeak,"['Beaky', 'Witherwings', 'Buckbeak']"
Unidentified Muggle woman mentioned in Daily Prophet,/wiki/Unidentified_Muggle_woman_(II),['Unidentified Muggle woman mentioned in Daily Prophet']
Boggart,/wiki/Boggart,['Boggart']
Binky,/wiki/Binky,['Binky']
Grindylow,/wiki/Grindylow,['Grindylow']
Cedric Diggory,/wiki/Cedric_Diggory,"['Cedric', 'Cedric Diggory']"
Hinkypunk,/wiki/Hinkypunk,['Hinkypunk']
Davey Gudgeon,/wiki/Davey_Gudgeon,"['Davey', 'Davey Gudgeon']"
Ambrosius Flume,/wiki/Ambrosius_Flume,"['Ambrosius', 'Ambrosius Flume']"
Ambrosius Flume's wife,/wiki/Ambrosius_Flume%27s_wife,"[""Ambrosius Flume's wife""]"
Rosmerta,/wiki/Rosmerta,['Rosmerta']
Peter Pettigrew's mother,/wiki/Peter_Pettigrew%27s_mother,"[""Peter Pettigrew's mother""]"
Derek,/wiki/Derek,['Derek']
Septima Vector,/wiki/Septima_Vector,"['Professor Vector', 'Septima', 'Septima Vector']"
Cho Chang,/wiki/Cho_Chang,"['Cho', 'Cho Chang']"
Roger Davies,/wiki/Roger_Davies,"['Roger', 'Davies', 'Roger Davies']"
Cassius Warrington,/wiki/Cassius_Warrington,"['Cassius', 'Warrington', 'Cassius Warrington']"
Graham Montague,/wiki/Graham_Montague,"['Graham', 'Montague', 'Graham Montague']"
Peregrine Derrick,/wiki/Peregrine_Derrick,"['Derrick', 'Peregrine', 'Peregrine Derrick']"
Lucian Bole,/wiki/Lucian_Bole,"['Lucian', 'Bole', 'Lucian Bole']"
Unidentified Committee for the Disposal of Dangerous Creatures member,/wiki/Unidentified_Committee_for_the_Disposal_of_Dangerous_Creatures_member,['Unidentified Committee for the Disposal of Dangerous Creatures member']
Walden Macnair,/wiki/Walden_Macnair,"['Macnair', 'Walden', 'Walden Macnair']"
Lyall Lupin,/wiki/Lyall_Lupin,"['Lyall', 'Lyall Lupin']"
Hope Lupin,/wiki/Hope_Howell,"['Hope', 'Hope Lupin']"
Pigwidgeon,/wiki/Pigwidgeon,['Pigwidgeon']
Mary Riddle,/wiki/Mary_Riddle,"['Mrs. Riddle', 'Mary', 'Mary Riddle']"
