Name,Link,Aliases
Cho Chang,/wiki/Cho_Chang,['Cho']
Roger Davies,/wiki/Roger_Davies,"['Roger', 'Davies']"
Cassius Warrington,/wiki/Cassius_Warrington,"['Warrington', 'Cassius']"
Graham Montague,/wiki/Graham_Montague,"['Montague', 'Graham']"
Peregrine Derrick,/wiki/Peregrine_Derrick,"['Derrick', 'Peregrine']"
Lucian Bole,/wiki/Lucian_Bole,"['Lucian', 'Bole']"
Unidentified Committee for the Disposal of Dangerous Creatures member,/wiki/Unidentified_Committee_for_the_Disposal_of_Dangerous_Creatures_member,[]
Walden Macnair,/wiki/Walden_Macnair,"['Macnair', 'Walden']"
Lyall Lupin,/wiki/Lyall_Lupin,['Lyall']
Hope Lupin,/wiki/Hope_Howell,['Hope']
Pigwidgeon,/wiki/Pigwidgeon,[]
Mary Riddle,/wiki/Mary_Riddle,"['Mrs. Riddle', 'Mary']"
Thomas Riddle,/wiki/Thomas_Riddle,"['Thomas', 'Mr. Riddle']"
Riddles' maid,/wiki/Riddles%27_maid,[]
Riddles' cook,/wiki/Riddles%27_cook,[]
Frank Bryce,/wiki/Frank_Bryce,[]
Landlord of The Hanged Man,/wiki/Landlord_of_The_Hanged_Man,['Landlord']
Dot,/wiki/Dot,[]
Little Hangleton,/wiki/Little_Hangleton,[]
Great Hangleton,/wiki/Great_Hangleton,[]
Riddle House,/wiki/Riddle_House,['Riddle']
Little Hangleton boys,/wiki/Little_Hangleton_boys,[]
Nagini,/wiki/Nagini,['The Snake Girl']
Bertha Jorkins,/wiki/Bertha_Jorkins,['Bertha']
Smeltings Academy,/wiki/Smeltings_Academy,['Smeltings']
Little Whinging postman,/wiki/Little_Whinging_postman,[]
Barty Crouch Snr,/wiki/Bartemius_Crouch_Senior,['Barty']
Ludo Bagman,/wiki/Ludovic_Bagman,['Ludo']
Otto Bagman,/wiki/Otto_Bagman,['Otto']
Viktor Krum,/wiki/Viktor_Krum,"['Krum', 'Bulgarian Bonbon', 'Dumb Krum', 'Viktor', 'Viktor Krazy Krum']"
Amos Diggory,/wiki/Amos_Diggory,"['Amos', 'Mr. Diggory']"
Lovegood family,/wiki/Lovegood_family,[]
Fawcett family,/wiki/Fawcett_family,[]
Basil,/wiki/Basil,[]
Mr Roberts,/wiki/Roberts,['Mr. Roberts']
Mr Payne,/wiki/Payne,['Mr. Payne']
Kevin,/wiki/Kevin,[]
Kevin's mother,/wiki/Kevin%27s_mother,[]
Kevin's father,/wiki/Kevin%27s_father,[]
Salem Witches Institute,/wiki/Salem_Witches%27_Institute,['Salem']
Archie Aymslowe,/wiki/Archie_Aymslowe,['Archie']
Mr Wood,/wiki/Oliver_Wood%27s_father,['Mr. Wood']
Mrs Wood,/wiki/Oliver_Wood%27s_mother,['Mrs. Wood']
